"sample","rownames.track_V4_all.","input","filtered","denoised","nonchim","run"
"001_NGS22-011","001_NGS22-011","130672","103555","101011","88108","r1"
"002_NGS22-011","002_NGS22-011","102722","78334","76642","67862","r1"
"003_NGS22-011","003_NGS22-011","114933","89782","88046","76623","r1"
"004_NGS22-011","004_NGS22-011","149673","114933","112585","97548","r1"
"005_NGS22-011","005_NGS22-011","132489","104619","102688","92619","r1"
"006_NGS22-011","006_NGS22-011","113095","84832","82926","73173","r1"
"007_NGS22-011","007_NGS22-011","177666","142475","139879","120426","r1"
"008_NGS22-011","008_NGS22-011","178655","141612","139051","119149","r1"
"009_NGS22-011","009_NGS22-011","94227","77749","75838","67015","r1"
"010_NGS22-011","010_NGS22-011","93472","75481","73618","64846","r1"
"011_NGS22-011","011_NGS22-011","103242","80839","79806","75902","r1"
"012_NGS22-011","012_NGS22-011","94202","75033","74019","71911","r1"
"013_NGS22-011","013_NGS22-011","104613","87071","85811","79359","r1"
"014_NGS22-011","014_NGS22-011","85193","65359","64548","63810","r1"
"015_NGS22-011","015_NGS22-011","133995","110900","109179","103452","r1"
"016_NGS22-011","016_NGS22-011","137359","106893","105385","98991","r1"
"017_NGS22-011","017_NGS22-011","129469","100296","98341","89551","r1"
"018_NGS22-011","018_NGS22-011","98441","75683","74357","71141","r1"
"019_NGS22-011","019_NGS22-011","112076","88058","86017","78876","r1"
"020_NGS22-011","020_NGS22-011","115293","89434","87660","80844","r1"
"021_NGS22-011","021_NGS22-011","93979","76529","74463","64126","r1"
"022_NGS22-011","022_NGS22-011","97989","76327","74004","61567","r1"
"023_NGS22-011","023_NGS22-011","216726","182773","179729","146619","r1"
"024_NGS22-011","024_NGS22-011","102338","84084","82413","69149","r1"
"025_NGS22-011","025_NGS22-011","205679","168096","166127","151430","r1"
"026_NGS22-011","026_NGS22-011","119118","95022","93208","85637","r1"
"027_NGS22-011","027_NGS22-011","131447","107238","105480","94030","r1"
"028_NGS22-011","028_NGS22-011","130748","104521","102619","90732","r1"
"029_NGS22-011","029_NGS22-011","113862","93465","91936","83724","r1"
"030_NGS22-011","030_NGS22-011","107104","82511","80602","72982","r1"
"031_NGS22-011","031_NGS22-011","205640","174694","172537","149476","r1"
"032_NGS22-011","032_NGS22-011","194065","162111","160191","140785","r1"
"033_NGS22-011","033_NGS22-011","188703","156139","154400","134663","r1"
"034_NGS22-011","034_NGS22-011","170224","138859","137257","123914","r1"
"035_NGS22-011","035_NGS22-011","168564","141833","140135","124343","r1"
"036_NGS22-011","036_NGS22-011","190462","153357","151291","132402","r1"
"037_NGS22-011","037_NGS22-011","118642","97168","94891","87374","r1"
"038_NGS22-011","038_NGS22-011","143797","115586","113740","100795","r1"
"039_NGS22-011","039_NGS22-011","270274","227571","225361","197732","r1"
"040_NGS22-011","040_NGS22-011","230936","189617","187634","164384","r1"
"041_NGS22-011","041_NGS22-011","122530","94916","93229","86128","r1"
"042_NGS22-011","042_NGS22-011","125901","94440","93357","88166","r1"
"043_NGS22-011","043_NGS22-011","148838","109456","108472","101734","r1"
"044_NGS22-011","044_NGS22-011","129720","91886","90880","87249","r1"
"045_NGS22-011","045_NGS22-011","121933","90916","89629","86038","r1"
"046_NGS22-011","046_NGS22-011","121116","88065","86716","79911","r1"
"047_NGS22-011","047_NGS22-011","125104","93126","92158","87788","r1"
"048_NGS22-011","048_NGS22-011","170292","126315","125039","118771","r1"
"049_NGS22-011","049_NGS22-011","173230","137670","135888","124960","r1"
"050_NGS22-011","050_NGS22-011","128003","100593","99279","94452","r1"
"051_NGS22-011","051_NGS22-011","119730","98780","97280","87252","r1"
"052_NGS22-011","052_NGS22-011","117926","95626","93647","80698","r1"
"053_NGS22-011","053_NGS22-011","171086","137815","135732","122886","r1"
"054_NGS22-011","054_NGS22-011","107710","85720","83920","74513","r1"
"055_NGS22-011","055_NGS22-011","148664","126331","124336","107574","r1"
"056_NGS22-011","056_NGS22-011","51729","42377","41284","39187","r1"
"057_NGS22-011","057_NGS22-011","88179","72982","72016","64194","r1"
"058_NGS22-011","058_NGS22-011","60411","49183","48343","45352","r1"
"059_NGS22-011","059_NGS22-011","70268","58915","57997","52574","r1"
"060_NGS22-011","060_NGS22-011","70980","57556","56648","51612","r1"
"061_NGS22-011","061_NGS22-011","70285","56764","55677","55227","r1"
"062_NGS22-011","062_NGS22-011","64459","50142","49565","49445","r1"
"063_NGS22-011","063_NGS22-011","64839","53281","53168","53165","r1"
"064_NGS22-011","064_NGS22-011","62354","50066","49833","49682","r1"
"065_NGS22-011","065_NGS22-011","148359","114744","114341","114182","r1"
"066_NGS22-011","066_NGS22-011","143703","112088","111466","111012","r1"
"067_NGS22-011","067_NGS22-011","100042","78498","77508","76808","r1"
"068_NGS22-011","068_NGS22-011","117716","91143","90765","90534","r1"
"069_NGS22-011","069_NGS22-011","67957","51706","51311","51007","r1"
"070_NGS22-011","070_NGS22-011","139188","112065","111179","110281","r1"
"081_NGS22-011","081_NGS22-011","201324","166360","163058","136867","r1"
"082_NGS22-011","082_NGS22-011","238050","199263","196261","156588","r1"
"083_NGS22-011","083_NGS22-011","76670","60970","58799","52109","r1"
"084_NGS22-011","084_NGS22-011","206020","164666","161202","143275","r1"
"085_NGS22-011","085_NGS22-011","173970","141296","137670","106541","r1"
"086_NGS22-011","086_NGS22-011","325436","276066","274470","252474","r1"
"087_NGS22-011","087_NGS22-011","279925","234462","233257","211653","r1"
"088_NGS22-011","088_NGS22-011","175738","135578","134178","119526","r1"
"089_NGS22-011","089_NGS22-011","228386","185137","182642","152079","r1"
"090_NGS22-011","090_NGS22-011","204982","170365","168607","149113","r1"
"091_NGS22-011","091_NGS22-011","53424","45169","44072","40942","r1"
"092_NGS22-011","092_NGS22-011","201728","168187","165340","141511","r1"
"093_NGS22-011","093_NGS22-011","263449","224564","221284","182411","r1"
"094_NGS22-011","094_NGS22-011","102075","85884","84011","74176","r1"
"095_NGS22-011","095_NGS22-011","194263","162442","159083","134673","r1"
"096_NGS22-011","096_NGS22-011","314","236","127","121","r1"
"097_NGS22-011","097_NGS22-011","163977","132971","130720","112129","r1"
"098_NGS22-011","098_NGS22-011","113406","91388","89381","77465","r1"
"099_NGS22-011","099_NGS22-011","167481","136030","132841","121363","r1"
"100_NGS22-011","100_NGS22-011","156444","126406","124282","110476","r1"
"101_NGS22-011","101_NGS22-011","88478","68244","67108","62971","r1"
"102_NGS22-011","102_NGS22-011","117737","94381","92748","82792","r1"
"103_NGS22-011","103_NGS22-011","100029","79013","77832","71117","r1"
"104_NGS22-011","104_NGS22-011","132649","105183","103847","91721","r1"
"105_NGS22-011","105_NGS22-011","151617","123173","121284","99660","r1"
"106_NGS22-011","106_NGS22-011","90878","73224","72016","65190","r1"
"107_NGS22-011","107_NGS22-011","133572","109104","107237","86252","r1"
"108_NGS22-011","108_NGS22-011","130370","105859","104209","90794","r1"
"109_NGS22-011","109_NGS22-011","124089","100854","99339","90544","r1"
"110_NGS22-011","110_NGS22-011","147326","116115","114302","97585","r1"
"111_NGS22-011","111_NGS22-011","142385","112030","110331","99654","r1"
"112_NGS22-011","112_NGS22-011","128446","104369","102587","88737","r1"
"113_NGS22-011","113_NGS22-011","157632","125030","123403","110465","r1"
"114_NGS22-011","114_NGS22-011","96023","84034","82617","78283","r1"
"115_NGS22-011","115_NGS22-011","123895","104439","102629","91974","r1"
"116_NGS22-011","116_NGS22-011","143733","114617","113159","99587","r1"
"117_NGS22-011","117_NGS22-011","171119","152115","150148","136182","r1"
"118_NGS22-011","118_NGS22-011","125494","102490","100520","84394","r1"
"119_NGS22-011","119_NGS22-011","123074","98419","97059","90229","r1"
"120_NGS22-011","120_NGS22-011","101713","81159","80076","76340","r1"
"121_NGS22-011","121_NGS22-011","68629","54698","53522","43916","r1"
"122_NGS22-011","122_NGS22-011","45353","35649","35014","30333","r1"
"123_NGS22-011","123_NGS22-011","84181","66530","65029","48430","r1"
"124_NGS22-011","124_NGS22-011","79649","62739","61921","51843","r1"
"125_NGS22-011","125_NGS22-011","56708","44060","43214","36197","r1"
"126_NGS22-011","126_NGS22-011","72156","58074","56515","46844","r1"
"127_NGS22-011","127_NGS22-011","102607","80231","78379","61550","r1"
"128_NGS22-011","128_NGS22-011","2106038","74654","73193","56061","r1"
"129_NGS22-011","129_NGS22-011","356525","61","17","17","r1"
"130_NGS22-011","130_NGS22-011","489717","66129","64399","50301","r1"
"131_NGS22-011","131_NGS22-011","551683","60996","59536","46158","r1"
"132_NGS22-011","132_NGS22-011","1987029","65949","64288","55852","r1"
"133_NGS22-011","133_NGS22-011","531573","25519","24539","21650","r1"
"134_NGS22-011","134_NGS22-011","551865","35689","34344","30547","r1"
"135_NGS22-011","135_NGS22-011","1063816","67507","65534","55314","r1"
"136_NGS22-011","136_NGS22-011","616630","87225","85639","68125","r1"
"137_NGS22-011","137_NGS22-011","725919","87690","85909","67618","r1"
"138_NGS22-011","138_NGS22-011","524085","44798","43702","37027","r1"
"139_NGS22-011","139_NGS22-011","470850","61522","59908","48104","r1"
"140_NGS22-011","140_NGS22-011","476553","66689","64361","54132","r1"
"141_NGS22-011","141_NGS22-011","1407673","69701","68494","58362","r1"
"142_NGS22-011","142_NGS22-011","1724933","75003","73819","59307","r1"
"143_NGS22-011","143_NGS22-011","823662","61929","60665","49431","r1"
"144_NGS22-011","144_NGS22-011","474484","69073","67691","52565","r1"
"145_NGS22-011","145_NGS22-011","60478","46237","43697","35429","r1"
"146_NGS22-011","146_NGS22-011","62011","47084","44979","36214","r1"
"147_NGS22-011","147_NGS22-011","67119","50807","48667","40092","r1"
"148_NGS22-011","148_NGS22-011","57620","44052","42095","34388","r1"
"149_NGS22-011","149_NGS22-011","67205","49929","47922","42506","r1"
"150_NGS22-011","150_NGS22-011","91731","69458","67277","55160","r1"
"151_NGS22-011","151_NGS22-011","156722","125617","123581","96761","r1"
"152_NGS22-011","152_NGS22-011","140438","112493","110526","75655","r1"
"153_NGS22-011","153_NGS22-011","124669","99410","97416","71086","r1"
"154_NGS22-011","154_NGS22-011","51030","39838","38664","29953","r1"
"155_NGS22-011","155_NGS22-011","78277","60809","59897","46405","r1"
"156_NGS22-011","156_NGS22-011","110458","84081","82391","59418","r1"
"157_NGS22-011","157_NGS22-011","81621","61861","60579","49273","r1"
"158_NGS22-011","158_NGS22-011","126429","88302","86648","68219","r1"
"168_NGS22-011","168_NGS22-011","258313","202534","199080","156162","r1"
"169_NGS22-011","169_NGS22-011","327405","273884","270430","222511","r1"
"170_NGS22-011","170_NGS22-011","199705","164065","161961","140515","r1"
"K1i_NGS22-011","K1i_NGS22-011","291545","235576","233420","217535","r1"
"K1p_NGS22-011","K1p_NGS22-011","21338","17465","17389","17389","r1"
"K2i_NGS22-011","K2i_NGS22-011","179059","147096","145153","131702","r1"
"K2p_NGS22-011","K2p_NGS22-011","246208","198645","196814","183468","r1"
"K3i_NGS22-011","K3i_NGS22-011","233227","194608","193046","183102","r1"
"K4i_NGS22-011","K4i_NGS22-011","261603","212563","210173","189476","r1"
"096_NGS22-016","096_NGS22-016","95510","57713","55272","54351","r2"
"122_NGS22-016","122_NGS22-016","117961","56176","55124","52554","r2"
"130_NGS22-016","130_NGS22-016","95672","46706","45564","44844","r2"
"131_NGS22-016","131_NGS22-016","102688","47028","45732","41473","r2"
"132_NGS22-016","132_NGS22-016","160423","83171","81510","73133","r2"
"133_NGS22-016","133_NGS22-016","143334","73535","71942","67183","r2"
"134_NGS22-016","134_NGS22-016","204205","122881","120813","115787","r2"
"135_NGS22-016","135_NGS22-016","82062","44744","43295","40729","r2"
"136_NGS22-016","136_NGS22-016","55341","27404","26773","25352","r2"
"137_NGS22-016","137_NGS22-016","71320","36988","35921","32903","r2"
"138_NGS22-016","138_NGS22-016","69698","34257","33296","32421","r2"
"139_NGS22-016","139_NGS22-016","69046","37822","36710","35815","r2"
"140_NGS22-016","140_NGS22-016","129846","74171","72410","71520","r2"
"141_NGS22-016","141_NGS22-016","125210","62912","61757","59890","r2"
"142_NGS22-016","142_NGS22-016","119855","76532","75668","64988","r2"
"143_NGS22-016","143_NGS22-016","56466","33641","32795","31535","r2"
"144_NGS22-016","144_NGS22-016","110820","67702","66509","56461","r2"
"160_NGS22-016","160_NGS22-016","107144","55518","54346","49122","r2"
"161_NGS22-016","161_NGS22-016","112529","67012","65752","63446","r2"
"162_NGS22-016","162_NGS22-016","38815","21814","20946","20551","r2"
"163_NGS22-016","163_NGS22-016","37959","23542","22795","22142","r2"
"165_NGS22-016","165_NGS22-016","196048","117185","115063","96555","r2"
"166_NGS22-016","166_NGS22-016","150648","92760","90806","78655","r2"
"167_NGS22-016","167_NGS22-016","79729","48551","47237","41423","r2"
"K1p_NGS22-016","K1p_NGS22-016","11719","7885","7832","7832","r2"
